70.30	 -10.60	 28.30
70.50	 -10.00	 28.00
70.80	 -9.60	 28.00
70.80	 -10.20	 27.90
70.30	 -9.90	 28.50
69.90	 -10.50	 29.20
70.30	 -10.00	 28.50
71.50	 -10.50	 28.60
70.00	 -9.60	 28.20
70.50	 -9.60	 28.50
69.10	 -9.90	 28.50
70.20	 -9.70	 28.20
70.60	 -10.00	 28.30
70.50	 -9.40	 28.60
69.60	 -9.40	 28.00
69.70	 -9.10	 28.50
70.30	 -9.90	 28.80
70.30	 -10.00	 28.20
70.20	 -9.10	 28.60
69.70	 -10.20	 28.80
70.30	 -10.50	 27.90
70.20	 -8.70	 28.60
70.50	 -10.00	 28.20
70.50	 -10.00	 28.30
69.90	 -9.30	 28.90
70.60	 -10.00	 28.80
69.90	 -9.40	 28.00
70.80	 -10.00	 28.80
70.80	 -9.60	 28.80
70.30	 -9.00	 28.90
71.80	 -9.60	 28.30
71.10	 -9.10	 27.70
70.20	 -9.10	 28.50
70.60	 -9.10	 28.30
70.50	 -9.60	 27.40
70.50	 -10.20	 27.60
70.80	 -9.90	 28.00
71.70	 -9.70	 27.70
71.50	 -10.00	 27.30
70.90	 -9.60	 26.70
71.40	 -9.60	 27.30
71.50	 -9.90	 27.70
72.00	 -9.60	 27.00
71.20	 -9.30	 27.30
70.90	 -9.70	 26.40
71.50	 -8.40	 27.70
72.10	 -8.80	 26.80
71.10	 -9.90	 27.40
72.30	 -8.80	 27.40
72.00	 -8.70	 26.70
72.90	 -8.70	 27.10
73.00	 -9.30	 27.00
72.00	 -9.00	 26.80
72.30	 -8.50	 27.00
73.30	 -7.90	 26.50
74.10	 -8.40	 27.10
73.00	 -8.20	 28.00
73.80	 -7.20	 27.40
73.00	 -6.30	 27.60
73.80	 -5.80	 27.70
72.90	 -4.80	 27.30
73.60	 -4.30	 28.20
73.80	 -4.00	 28.30
73.60	 -1.90	 28.50
73.30	 -0.70	 28.80
73.30	 0.60	 29.40
73.20	 1.50	 29.80
73.30	 2.80	 30.00
72.40	 2.40	 30.30
72.30	 5.10	 30.00
72.70	 6.60	 30.40
72.40	 8.70	 29.20
73.20	 10.20	 29.80
72.70	 10.90	 28.90
72.10	 12.70	 28.90
72.90	 14.40	 28.90
72.00	 15.40	 28.30
71.80	 16.90	 27.90
72.70	 16.60	 26.80
71.80	 17.80	 27.10
71.10	 18.40	 27.40
70.90	 18.90	 26.40
71.10	 20.20	 27.70
71.70	 20.70	 26.40
71.40	 20.50	 26.80
70.60	 21.00	 26.40
70.50	 21.10	 26.50
70.90	 21.40	 26.80
70.30	 22.50	 25.20
69.90	 22.80	 27.00
69.60	 22.00	 26.40
69.70	 22.30	 26.70
69.70	 22.20	 25.20
69.30	 22.00	 26.80
69.10	 22.00	 25.30
69.60	 22.60	 27.40
69.40	 22.90	 26.70
69.10	 22.20	 26.70
69.60	 22.50	 27.30
68.20	 21.90	 27.60
68.10	 22.30	 27.40
68.50	 22.60	 27.70
67.60	 23.20	 28.30
67.50	 22.50	 28.20
67.60	 22.50	 28.50
67.50	 21.90	 28.60
67.50	 21.70	 28.80
67.00	 22.60	 28.30
67.90	 23.10	 27.90
67.20	 21.70	 28.20
66.70	 23.10	 28.90
66.40	 21.30	 29.80
65.80	 22.50	 30.00
67.00	 21.60	 29.10
65.70	 21.90	 29.80
66.00	 22.20	 29.80
65.10	 21.70	 31.20
65.80	 21.90	 30.60
64.60	 21.60	 31.80
64.50	 21.40	 32.10
64.80	 21.70	 31.30
64.60	 22.20	 32.10
64.60	 21.00	 32.20
64.00	 21.30	 32.80
63.60	 21.90	 33.30
63.40	 21.70	 33.30
63.60	 22.20	 33.90
62.70	 20.80	 33.70
62.20	 21.90	 34.80
61.90	 22.90	 33.30
61.50	 22.00	 34.30
60.70	 22.30	 34.30
59.40	 21.90	 35.40
60.70	 22.80	 34.50
60.00	 21.90	 35.20
60.00	 23.10	 35.10
60.00	 21.60	 34.50
57.70	 22.20	 34.80
57.60	 22.50	 35.70
57.30	 22.60	 36.60
57.40	 22.00	 37.00
56.50	 22.60	 37.60
56.10	 21.10	 37.90
54.60	 21.10	 38.10
54.40	 21.00	 38.50
53.80	 20.40	 38.70
53.10	 22.00	 39.10
50.50	 21.10	 39.90
50.40	 20.50	 38.80
49.80	 20.10	 40.20
48.60	 19.30	 40.50
48.00	 20.50	 40.50
47.70	 19.90	 40.90
47.10	 19.90	 40.80
46.50	 20.10	 40.90
45.00	 19.00	 40.80
43.80	 18.40	 41.40
42.10	 18.70	 42.10
42.10	 18.00	 41.10
41.40	 16.60	 42.10
40.80	 16.60	 43.30
40.60	 16.00	 42.00
40.60	 16.80	 42.40
40.20	 15.00	 43.50
38.20	 15.00	 43.00
38.10	 13.60	 42.90
37.80	 12.60	 42.70
37.00	 12.60	 43.00
35.80	 12.60	 43.60
35.10	 12.00	 42.70
35.40	 10.80	 43.50
34.50	 10.60	 43.20
34.90	 10.30	 43.30
33.60	 9.10	 43.50
34.00	 8.20	 43.20
33.70	 7.50	 43.80
33.40	 6.70	 43.50
33.30	 5.50	 43.50
33.90	 4.30	 43.50
33.60	 4.60	 43.90
34.20	 3.40	 43.50
32.50	 3.30	 43.60
32.80	 3.10	 42.90
32.10	 2.10	 42.30
32.10	 1.20	 42.90
31.50	 1.20	 42.40
31.00	 0.70	 43.00
32.80	 -0.10	 42.60
32.10	 -0.60	 42.30
31.30	 0.40	 42.90
31.20	 -0.60	 41.40
31.20	 -1.00	 42.60
31.80	 -1.00	 42.00
31.00	 -1.50	 42.30
31.00	 -2.50	 41.50
31.90	 -2.40	 41.80
31.50	 -4.00	 42.30
31.50	 -4.80	 42.00
31.30	 -5.50	 40.90
32.10	 -5.80	 40.90
32.10	 -6.10	 40.80
33.00	 -7.20	 40.80
33.00	 -8.10	 40.50
32.10	 -8.80	 40.00
32.80	 -10.00	 38.20
33.30	 -11.20	 39.00
34.30	 -13.20	 37.60
34.30	 -14.10	 37.50
34.80	 -15.30	 36.10
36.60	 -17.10	 35.70
37.00	 -19.30	 35.10
38.10	 -20.50	 34.20
38.20	 -21.00	 32.80
40.80	 -21.60	 32.70
40.90	 -22.80	 31.00
42.90	 -23.50	 29.80
43.30	 -23.70	 30.10
46.00	 -25.20	 27.10
47.70	 -25.60	 26.80
48.00	 -26.10	 25.20
49.20	 -26.80	 24.60
49.60	 -27.30	 22.80
51.70	 -28.30	 21.60
52.60	 -28.30	 21.40
53.70	 -28.00	 19.60
54.70	 -28.20	 18.60
55.30	 -28.00	 17.50
56.10	 -28.60	 15.90
58.00	 -29.50	 15.30
57.30	 -28.50	 14.20
58.30	 -28.20	 13.00
58.60	 -28.00	 12.30
60.90	 -27.90	 12.10
60.60	 -27.90	 11.10
61.60	 -27.10	 10.60
61.50	 -26.40	 9.90
61.80	 -27.60	 8.10
62.10	 -26.80	 7.30
62.20	 -27.30	 7.00
63.40	 -26.80	 6.30
64.30	 -26.80	 4.90
63.90	 -25.90	 4.00
64.80	 -25.30	 2.50
64.80	 -25.30	 2.40
65.40	 -25.00	 1.80
65.70	 -24.30	 0.90
66.10	 -24.60	 0.60
65.80	 -24.30	 -0.30
66.40	 -23.70	 -0.60
66.70	 -23.70	 -2.10
66.40	 -23.20	 -2.10
67.00	 -23.20	 -3.40
67.60	 -21.60	 -3.90
67.20	 -22.50	 -4.00
67.20	 -22.00	 -4.90
69.10	 -20.80	 -4.80
68.40	 -21.00	 -6.70
68.80	 -19.80	 -6.40
69.60	 -19.60	 -8.10
68.70	 -18.70	 -8.50
68.70	 -18.10	 -9.60
69.70	 -17.70	 -9.70
69.10	 -17.70	 -10.30
69.60	 -16.60	 -11.40
69.60	 -16.80	 -11.20
68.50	 -16.00	 -12.90
69.60	 -14.80	 -12.30
70.00	 -15.10	 -13.90
68.80	 -13.80	 -15.40
69.00	 -13.30	 -15.00
69.70	 -13.30	 -15.90
69.30	 -12.00	 -15.90
70.20	 -12.00	 -16.90
68.80	 -11.50	 -17.40
69.70	 -10.00	 -18.00
69.10	 -8.80	 -18.10
69.60	 -9.00	 -18.60
69.00	 -7.90	 -18.90
69.40	 -7.50	 -18.90
70.00	 -6.10	 -19.80
70.20	 -5.40	 -19.30
69.70	 -4.30	 -20.10
69.30	 -4.20	 -21.00
69.10	 -3.00	 -21.90
69.60	 -2.40	 -21.60
68.50	 -1.30	 -20.80
69.90	 -0.60	 -22.30
68.20	 -0.40	 -21.70
68.80	 1.00	 -21.90
69.00	 1.80	 -22.30
68.80	 1.50	 -22.30
68.80	 2.70	 -22.00
68.20	 3.40	 -23.10
68.70	 4.20	 -23.50
67.20	 5.10	 -23.40
67.30	 5.20	 -24.10
68.20	 6.60	 -23.80
67.60	 7.00	 -24.00
66.60	 8.10	 -24.10
66.40	 7.90	 -24.00
66.70	 9.60	 -23.20
65.80	 9.70	 -23.40
65.70	 10.90	 -24.60
66.00	 10.30	 -23.40
66.30	 11.70	 -24.10
65.40	 13.50	 -23.80
65.80	 14.10	 -24.00
64.50	 15.00	 -23.70
64.90	 15.40	 -23.80
64.30	 17.10	 -23.50
64.50	 16.60	 -24.00
64.00	 17.20	 -23.40
63.90	 18.30	 -23.50
64.50	 18.90	 -23.80
63.70	 19.60	 -22.80
63.30	 20.40	 -22.90
63.70	 20.80	 -22.90
63.10	 22.60	 -22.00
62.10	 22.50	 -22.00
61.50	 23.50	 -22.00
62.10	 23.40	 -20.80
62.40	 24.30	 -21.10
61.50	 25.60	 -20.40
61.80	 26.70	 -19.00
61.90	 27.60	 -19.90
61.20	 28.00	 -18.40
61.00	 29.20	 -18.90
61.50	 28.30	 -18.00
60.90	 28.60	 -17.40
60.90	 30.70	 -16.30
59.20	 31.30	 -16.90
60.10	 31.90	 -15.00
60.10	 32.80	 -14.20
59.70	 33.30	 -14.40
59.70	 33.40	 -13.00
58.80	 33.90	 -12.00
59.80	 35.40	 -11.20
58.60	 34.60	 -10.90
59.40	 36.00	 -10.90
58.90	 35.50	 -9.30
59.20	 36.60	 -7.50
58.90	 37.00	 -7.90
58.60	 37.90	 -6.60
58.80	 38.20	 -6.40
57.70	 39.70	 -5.50
58.20	 38.50	 -4.30
58.30	 39.70	 -3.10
58.60	 39.30	 -2.20
57.10	 39.60	 -0.70
56.80	 40.30	 -0.70
58.50	 40.90	 0.30
57.40	 40.50	 0.70
57.30	 41.10	 1.50
56.50	 41.40	 2.70
55.80	 42.10	 3.40
56.20	 40.80	 4.90
56.20	 41.20	 6.30
55.60	 42.00	 6.60
55.00	 42.10	 7.30
54.60	 42.00	 8.20
54.00	 42.60	 8.20
54.00	 42.30	 8.20
53.80	 42.10	 10.00
53.70	 42.10	 11.10
